,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TimeSinceLastTransaction,TransactionAmountRelativeToBalance,IsNewDevice,FailedLoginFlag,MahalanobisDistance,Cluster
602,TX000603,AC00107,635.4,2023-09-19 16:55:00,Debit,Denver,D000002,215.97.143.157,M018,ATM,47,Doctor,106,1,1238.11,2024-11-04 08:11:45,16,-35565405.0,0.5132015692208158,True,False,2.558989964787122,1
1733,TX001734,AC00108,238.54,2023-04-07 16:04:01,Debit,Indianapolis,D000428,83.182.211.68,M006,ATM,19,Student,12,4,868.91,2024-11-04 08:07:18,16,-49824197.0,0.27452785358060267,True,True,3.1573753349530955,1
1696,TX001697,AC00108,849.76,2023-08-16 16:28:30,Debit,Seattle,D000690,64.89.183.39,M023,ATM,25,Student,269,1,373.88,2024-11-04 08:07:50,16,-38504360.0,2.2728147460999586,True,False,2.6081312023109224,1
217,TX000218,AC00108,134.7,2023-08-21 16:03:18,Debit,Fort Worth,D000637,155.19.119.0,M074,ATM,50,Doctor,106,1,8395.85,2024-11-04 08:11:07,16,-38074069.0,0.016043640589048586,True,False,2.3486823049613483,1
1202,TX001203,AC00108,290.02,2023-09-25 17:48:55,Debit,Milwaukee,D000406,173.252.44.183,M005,Branch,55,Engineer,246,1,4746.71,2024-11-04 08:07:56,17,-35043541.0,0.06109916118511735,True,False,1.702260204649678,1
143,TX000144,AC00108,233.74,2023-10-24 16:41:00,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,2024-11-04 08:11:17,16,-32542217.0,0.2191469991360598,True,False,1.6920153378114036,1
1158,TX001159,AC00108,173.6,2023-11-28 16:38:08,Debit,Austin,D000165,151.247.130.190,M043,Online,21,Student,160,1,421.44,2024-11-04 08:09:35,16,-29518287.0,0.41192102287582993,True,False,2.2355681481330856,1
906,TX000907,AC00109,29.22,2023-02-27 18:33:48,Debit,Detroit,D000660,218.83.2.94,M056,ATM,27,Engineer,69,1,7795.79,2024-11-04 08:10:28,18,-53185000.0,0.003748176895801225,True,False,2.993186908402733,1
1164,TX001165,AC00109,389.7,2023-03-10 16:40:00,Credit,Austin,D000423,155.164.18.235,M030,Branch,62,Doctor,216,1,7125.15,2024-11-04 08:10:42,16,-52241442.0,0.054693585321440835,True,False,2.1976631031589298,1
745,TX000746,AC00110,319.17,2023-01-11 16:58:02,Debit,Tucson,D000444,7.28.148.225,M088,Online,73,Retired,81,1,6501.56,2024-11-04 08:08:49,16,-57251447.0,0.04909129493676703,True,False,3.1428274195627717,1
1329,TX001330,AC00110,224.28,2023-02-15 16:50:13,Debit,Chicago,D000316,189.20.224.220,M068,Online,64,Retired,68,1,5767.51,2024-11-04 08:10:52,16,-54228039.0,0.03888679856838254,True,False,2.967674087147825,1
2149,TX002150,AC00110,1250.94,2023-02-28 17:45:06,Debit,Columbus,D000282,35.67.21.23,M054,ATM,36,Doctor,107,2,11565.97,2024-11-04 08:08:33,17,-53101407.0,0.10815694653526083,True,True,3.483539142958142,1
297,TX000298,AC00110,34.74,2023-06-26 16:40:21,Debit,San Francisco,D000320,82.88.241.226,M072,ATM,56,Retired,24,1,6827.57,2024-11-04 08:11:03,16,-42910242.0,0.005088193888765412,True,False,1.779717289600838,1
2063,TX002064,AC00110,351.38,2023-06-26 18:41:55,Debit,New York,D000254,47.82.77.181,M026,Branch,64,Retired,21,1,7606.63,2024-11-04 08:06:32,18,-42902677.0,0.04619391235515082,True,False,1.8735663984520916,1
73,TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,2024-11-04 08:08:45,16,-32886857.0,0.035780605119629764,True,False,2.234933805031525,1
746,TX000747,AC00110,73.95,2023-11-03 16:39:45,Debit,Kansas City,D000337,6.204.110.7,M012,ATM,26,Student,76,1,363.92,2024-11-04 08:07:22,16,-31678057.0,0.2032039952955596,True,False,1.6296097173092803,1
1338,TX001339,AC00110,19.39,2023-11-17 16:39:20,Debit,Colorado Springs,D000294,201.95.180.152,M062,ATM,43,Doctor,45,1,9847.6,2024-11-04 08:11:24,16,-30468724.0,0.0019690076749979612,True,False,2.14989904606594,1
974,TX000975,AC00111,81.35,2023-01-23 17:39:08,Debit,Houston,D000242,205.69.66.135,M028,Online,41,Engineer,103,1,7192.45,2024-11-04 08:07:04,17,-56212076.0,0.011310471381364526,True,False,1.5517575950980294,1
1754,TX001755,AC00111,270.54,2023-04-03 18:22:02,Credit,Sacramento,D000479,26.113.209.69,M077,ATM,20,Student,139,1,269.78,2024-11-04 08:09:42,18,-50161660.0,1.0028170730663108,True,False,2.8931955501866637,1
157,TX000158,AC00111,803.37,2023-04-17 16:08:34,Credit,Memphis,D000108,191.91.45.159,M030,Branch,68,Doctor,129,1,12168.37,2024-11-04 08:08:40,16,-48960006.0,0.06602116794112838,True,False,7.357476866959874,1
702,TX000703,AC00111,21.49,2023-05-04 16:51:17,Debit,Denver,D000108,60.43.160.195,M050,ATM,58,Doctor,240,1,11991.24,2024-11-04 08:08:08,16,-47488611.0,0.0017921415952043811,False,False,1.9644513467668812,1
2403,TX002404,AC00111,1493.0,2023-06-07 17:05:41,Debit,Colorado Springs,D000344,136.162.111.135,M096,ATM,69,Retired,151,1,1619.16,2024-11-04 08:07:07,17,-44550086.0,0.9220830497166244,True,False,2.830957757937246,1
938,TX000939,AC00111,35.05,2023-09-27 18:52:36,Debit,Boston,D000589,115.241.186.164,M047,Branch,30,Doctor,105,1,14330.47,2024-11-04 08:07:17,18,-34866881.0,0.002445837434190339,True,False,1.7614445555444802,1
1480,TX001481,AC00111,366.93,2023-12-11 18:43:00,Debit,Houston,D000697,45.182.28.148,M078,Online,66,Retired,33,1,6697.79,2024-11-04 08:11:33,18,-28387713.0,0.054783742018212365,True,False,1.8611749587063995,1
1562,TX001563,AC00112,554.15,2023-04-18 17:17:37,Debit,Raleigh,D000087,151.247.130.190,M066,ATM,49,Doctor,108,1,14817.22,2024-11-04 08:12:11,17,-48869674.0,0.037399053238462376,True,False,4.738251853893325,1
189,TX000190,AC00113,215.9,2023-01-04 16:02:09,Debit,Los Angeles,D000414,147.119.62.178,M083,ATM,38,Doctor,235,1,7873.28,2024-11-04 08:10:23,16,-57859694.0,0.027421862263984183,True,False,1.741632265258271,1
1359,TX001360,AC00113,174.39,2023-01-09 16:08:52,Debit,San Francisco,D000078,98.255.160.110,M015,ATM,19,Student,36,1,1127.08,2024-11-04 08:11:01,16,-57427329.0,0.1547272584490253,True,False,2.6069768017728787,1
200,TX000201,AC00113,307.41,2023-06-12 17:32:52,Debit,Los Angeles,D000014,1.7.29.72,M007,ATM,19,Student,14,1,1057.0,2024-11-04 08:09:48,17,-44116616.0,0.29083254218701476,True,False,2.509227648884353,1
2019,TX002020,AC00113,643.02,2023-10-02 17:47:19,Credit,Detroit,D000534,34.125.226.63,M065,ATM,38,Doctor,85,1,11989.39,2024-11-04 08:07:01,17,-34438782.0,0.053632419953281676,True,False,2.1458007144070805,1
801,TX000802,AC00114,268.39,2023-02-21 18:13:02,Debit,San Antonio,D000224,81.102.230.41,M021,Online,29,Doctor,177,1,9409.43,2024-11-04 08:11:45,18,-53704723.0,0.02852351308365808,True,False,2.9362280950935107,1
560,TX000561,AC00114,27.07,2023-03-06 17:39:01,Credit,Virginia Beach,D000046,52.169.116.164,M004,Branch,80,Retired,39,1,3773.29,2024-11-04 08:09:57,17,-52583456.0,0.007174110637734946,True,False,4.491244271885647,0
1616,TX001617,AC00114,34.74,2023-04-28 16:03:41,Credit,Portland,D000142,161.71.2.223,M075,Online,59,Retired,72,1,3736.57,2024-11-04 08:12:14,16,-48010113.0,0.009297296693766484,True,False,1.119552264074844,1
141,TX000142,AC00114,1049.92,2023-10-23 16:50:33,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1,2037.85,2024-11-04 08:10:34,16,-32628001.0,0.5152096547085917,True,False,2.4400570675641324,1
496,TX000497,AC00114,286.5,2023-10-23 16:58:04,Credit,Boston,D000602,16.128.130.153,M097,Branch,30,Engineer,60,1,8517.95,2024-11-04 08:09:17,16,-32627473.0,0.03363485341703713,True,False,2.2072740723290347,1
965,TX000966,AC00114,477.07,2023-11-27 16:30:37,Debit,Columbus,D000503,80.75.92.66,M096,Online,27,Engineer,278,1,6568.07,2024-11-04 08:07:34,16,-29605017.0,0.07263473124885282,True,False,1.8918346445013654,1
1994,TX001995,AC00114,77.57,2023-12-13 17:02:21,Debit,Atlanta,D000441,136.104.90.223,M091,Online,49,Doctor,225,1,12801.93,2024-11-04 08:07:54,17,-28220733.0,0.006059242625089152,True,False,1.9879820935933121,1
227,TX000228,AC00115,581.65,2023-01-09 16:54:58,Debit,Boston,D000666,80.92.209.207,M009,ATM,22,Student,176,1,480.19,2024-11-04 08:09:39,16,-57424481.0,1.2112913386098974,True,False,2.1277536191953677,1
2188,TX002189,AC00115,85.01,2023-01-23 18:35:43,Credit,Portland,D000185,218.54.207.160,M014,ATM,25,Student,157,1,1299.4,2024-11-04 08:08:58,18,-56208795.0,0.06542250219006848,True,False,2.9641217401221964,1
52,TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,2024-11-04 08:06:45,16,-44551271.0,0.005731672130821628,True,False,2.5554067882918208,1
2145,TX002146,AC00116,5.29,2023-03-08 18:51:57,Debit,Indianapolis,D000479,23.92.205.75,M062,Online,52,Doctor,276,1,11263.89,2024-11-04 08:09:14,18,-52406237.0,0.00046964237002523787,True,False,1.9612878456854768,1
391,TX000392,AC00116,133.73,2023-05-16 16:21:42,Credit,San Jose,D000664,83.80.89.29,M001,Online,25,Student,123,1,1872.22,2024-11-04 08:09:22,16,-46453660.0,0.07142857104705339,True,False,2.312011882037143,1
2489,TX002490,AC00116,408.62,2023-05-22 17:41:48,Credit,Fort Worth,D000684,58.1.27.124,M021,Online,48,Engineer,159,1,2498.48,2024-11-04 08:07:08,17,-45930320.0,0.16354743618701195,True,False,2.6904395797957483,1
1372,TX001373,AC00116,356.56,2023-10-09 17:23:21,Debit,New York,D000399,157.130.28.27,M100,Online,47,Engineer,52,1,2485.73,2024-11-04 08:11:57,17,-33835716.0,0.1434427707617369,True,False,2.0246841062572165,1
2424,TX002425,AC00116,14.34,2023-10-17 17:51:19,Credit,Memphis,D000620,80.92.209.207,M004,Online,67,Retired,24,1,7932.51,2024-11-04 08:07:06,17,-33142547.0,0.0018077506340266189,True,False,3.5755991246561014,1
699,TX000700,AC00116,261.69,2023-11-27 17:29:25,Debit,Philadelphia,D000117,197.52.3.107,M042,ATM,53,Retired,84,1,5126.65,2024-11-04 08:09:09,17,-29601584.0,0.05104502930559912,True,False,2.4365883609400028,1
43,TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,16,-49392266.0,0.2287935717443413,True,False,1.853794464149117,1
2510,TX002511,AC00118,185.97,2023-02-24 16:24:46,Debit,Denver,D000634,21.190.11.223,M041,Online,23,Student,19,1,1776.91,2024-11-04 08:12:22,16,-53452056.0,0.10465921118875345,True,False,1.8529075987883037,1
1435,TX001436,AC00118,692.55,2023-03-07 16:51:37,Debit,Charlotte,D000577,180.224.54.115,M058,Branch,53,Retired,109,1,2451.56,2024-11-04 08:12:17,16,-52500040.0,0.28249359476213676,True,False,1.8923298579766268,1
2278,TX002279,AC00118,85.03,2023-04-10 16:52:51,Debit,San Diego,D000109,160.65.101.37,M020,ATM,51,Retired,48,1,4597.57,2024-11-04 08:06:59,16,-49562048.0,0.018494552516884893,True,False,2.3452780516892133,1
1632,TX001633,AC00118,287.05,2023-04-14 16:00:51,Debit,Milwaukee,D000356,141.169.67.34,M058,ATM,22,Student,212,1,1204.65,2024-11-04 08:10:59,16,-49219808.0,0.23828497706151183,True,False,2.1195111882111815,1
721,TX000722,AC00119,409.61,2023-07-26 16:05:48,Debit,Kansas City,D000618,197.23.128.119,M024,Branch,65,Doctor,89,1,11698.15,2024-11-04 08:10:16,16,-40320268.0,0.03501493822953635,True,False,1.2853758300531504,1
2382,TX002383,AC00119,761.73,2023-09-11 17:15:04,Debit,Columbus,D000191,89.6.100.149,M075,ATM,19,Student,27,1,151.28,2024-11-04 08:09:23,17,-36255259.0,5.0352323482791945,True,False,2.4435675622145507,1
1946,TX001947,AC00119,113.54,2023-09-22 16:42:46,Debit,Columbus,D000006,155.19.119.0,M036,Online,38,Engineer,273,1,5581.21,2024-11-04 08:08:45,16,-35306759.0,0.020343258862606392,True,False,2.2462144657004286,1
1445,TX001446,AC00119,88.42,2023-10-18 16:28:19,Debit,El Paso,D000443,37.143.57.20,M096,ATM,62,Doctor,91,1,12381.45,2024-11-04 08:09:15,16,-33061256.0,0.007141328352380918,True,False,1.9375489211950014,1
300,TX000301,AC00119,211.36,2023-11-21 16:23:41,Credit,Fort Worth,D000700,63.67.150.226,M041,Branch,51,Engineer,286,1,7943.47,2024-11-04 08:11:10,16,-30124049.0,0.02660801888015185,True,False,1.4395701605335631,1
451,TX000452,AC00119,54.61,2023-12-04 16:10:04,Debit,Milwaukee,D000079,39.163.103.27,M043,ATM,58,Engineer,160,1,7135.64,2024-11-04 08:07:19,16,-29001435.0,0.007653132714580426,True,False,1.9673738014806514,1
1390,TX001391,AC00120,301.56,2023-02-09 17:46:49,Debit,Seattle,D000014,155.37.19.43,M011,Branch,49,Doctor,118,1,10389.6,2024-11-04 08:10:23,17,-54743014.0,0.029025178997242263,True,False,5.7310149176923755,0
1726,TX001727,AC00120,85.73,2023-03-01 16:09:58,Debit,Virginia Beach,D000072,134.222.122.238,M100,ATM,41,Doctor,266,1,14928.35,2024-11-04 08:08:37,16,-53020719.0,0.005742764601752528,True,False,2.1064262092062314,1
42,TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,18,-48690680.0,0.0180743908311327,True,False,3.929048588156677,1
1058,TX001059,AC00120,730.1,2023-07-25 18:04:46,Credit,Chicago,D000453,190.164.160.79,M053,Branch,77,Retired,93,1,6384.05,2024-11-04 08:06:48,18,-40399322.0,0.11436313920730079,True,False,1.739649080959558,1
2052,TX002053,AC00120,183.22,2023-10-05 18:40:15,Debit,Milwaukee,D000290,64.15.0.66,M099,ATM,27,Student,63,1,1024.42,2024-11-04 08:07:27,18,-34176432.0,0.17885242206465685,True,False,2.6441209354265776,1
1168,TX001169,AC00120,202.55,2023-11-14 18:49:52,Debit,Dallas,D000028,51.250.46.149,M029,ATM,21,Student,34,2,701.73,2024-11-04 08:09:12,18,-30719960.0,0.28864377625805115,True,True,4.095724890224175,0
1717,TX001718,AC00121,80.97,2023-01-09 17:27:58,Debit,Seattle,D000255,146.69.70.214,M026,Online,38,Doctor,157,1,5926.31,2024-11-04 08:09:06,17,-57422468.0,0.013662801956592209,True,False,2.365047146328255,1
113,TX000114,AC00121,213.76,2023-03-01 17:52:14,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,2024-11-04 08:09:36,17,-53014642.0,0.06057720629413156,True,False,2.0677753207035807,1
1117,TX001118,AC00122,248.66,2023-02-03 17:46:54,Debit,Chicago,D000129,175.166.115.182,M058,Online,28,Engineer,113,1,2571.39,2024-11-04 08:11:30,17,-55261476.0,0.09670256127346469,True,False,2.2115405414040037,1
1530,TX001531,AC00122,613.7,2023-02-22 17:33:56,Credit,Fort Worth,D000670,86.83.61.143,M055,Branch,61,Retired,37,1,7307.11,2024-11-04 08:10:53,17,-53620617.0,0.08398669229834137,True,False,2.765515359979885,1
517,TX000518,AC00122,358.18,2023-04-10 16:44:52,Debit,Boston,D000650,100.198.165.4,M028,ATM,18,Student,157,1,619.86,2024-11-04 08:07:58,16,-49562586.0,0.5778401481328018,True,False,3.5781521293298275,1
1752,TX001753,AC00122,303.43,2023-06-06 17:32:57,Debit,Virginia Beach,D000166,200.136.146.93,M029,Branch,22,Student,30,1,1833.24,2024-11-04 08:08:11,17,-44634914.0,0.16551569807818017,True,False,2.9063278715406584,1
2473,TX002474,AC00122,11.02,2023-07-31 17:49:23,Debit,Austin,D000371,77.208.193.198,M070,Online,42,Doctor,42,1,7879.66,2024-11-04 08:07:22,17,-39881879.0,0.0013985374985741295,True,False,3.475528666098622,1
446,TX000447,AC00122,21.4,2023-12-26 16:07:28,Debit,Fresno,D000537,198.166.198.233,M027,Branch,34,Engineer,258,1,9594.11,2024-11-04 08:11:40,16,-27101052.0,0.002230535190621605,True,False,2.5570705960838964,1
1573,TX001574,AC00123,77.54,2023-02-01 17:12:47,Debit,Phoenix,D000352,79.47.176.19,M095,Online,67,Retired,73,1,4536.38,2024-11-04 08:10:22,17,-55436255.0,0.017092924276421017,True,False,7.0958542878223385,1
1319,TX001320,AC00123,162.65,2023-05-11 17:15:10,Debit,New York,D000169,112.86.148.212,M088,ATM,59,Engineer,147,1,9500.95,2024-11-04 08:11:20,17,-46882570.0,0.01711934067949064,True,False,1.9026624078542373,1
684,TX000685,AC00123,578.49,2023-10-16 17:46:51,Debit,Nashville,D000463,194.88.79.54,M032,Branch,59,Retired,180,1,6475.13,2024-11-04 08:06:50,17,-33229199.0,0.0893402910994215,True,False,1.7680137480041067,1
1546,TX001547,AC00123,100.38,2023-11-27 17:51:15,Debit,Seattle,D000548,71.93.189.160,M060,Branch,63,Doctor,49,1,10171.68,2024-11-04 08:09:18,17,-29600283.0,0.009868576272682018,True,False,2.125337599669786,1
962,TX000963,AC00124,55.86,2023-01-23 17:18:16,Debit,Seattle,D000211,200.136.146.93,M007,Online,39,Engineer,68,1,5346.46,2024-11-04 08:06:59,17,-56213323.0,0.010448034754869513,True,False,2.857542601945418,1
850,TX000851,AC00124,23.4,2023-02-08 18:27:49,Debit,El Paso,D000079,74.58.165.67,M027,ATM,46,Doctor,175,4,14851.28,2024-11-04 08:07:14,18,-54826765.0,0.001575621763527708,True,True,1.7201444828873214,1
1762,TX001763,AC00124,819.48,2023-10-05 16:27:27,Debit,Virginia Beach,D000395,154.138.163.229,M038,ATM,25,Student,26,1,1804.5,2024-11-04 08:08:37,16,-34184470.0,0.4541313358042043,True,False,2.683936158800794,1
1195,TX001196,AC00124,292.08,2023-12-29 18:07:04,Debit,Columbus,D000631,218.54.207.160,M067,ATM,72,Retired,32,1,7950.48,2024-11-04 08:09:34,18,-26834550.0,0.03673740448785809,True,False,2.5295550434881786,1
810,TX000811,AC00125,178.91,2023-03-15 16:37:04,Debit,Omaha,D000041,35.67.21.23,M035,ATM,18,Student,19,1,8870.89,2024-11-04 08:07:06,16,-51809402.0,0.020168213087786893,True,False,2.294197876750656,1
2487,TX002488,AC00125,54.1,2023-05-19 17:47:41,Credit,Boston,D000031,110.64.1.201,M085,Branch,28,Engineer,17,1,940.91,2024-11-04 08:06:59,17,-46189158.0,0.05749752837681045,True,False,2.7577448069864605,1
1292,TX001293,AC00125,19.48,2023-07-10 16:01:03,Debit,Dallas,D000674,16.128.130.153,M002,ATM,27,Engineer,114,1,4739.59,2024-11-04 08:08:46,16,-41702863.0,0.0041100601442106595,True,False,2.3338736819250396,1
1209,TX001210,AC00125,476.03,2023-09-01 16:12:35,Credit,Houston,D000470,130.92.201.49,M003,Branch,77,Retired,99,1,5958.34,2024-11-04 08:09:08,16,-37122993.0,0.07989305732822723,True,False,2.1804309660582364,1
1316,TX001317,AC00125,220.23,2023-09-18 18:35:23,Debit,Milwaukee,D000663,19.20.13.234,M059,ATM,41,Engineer,48,1,3438.02,2024-11-04 08:06:33,18,-35645470.0,0.06405721879437228,True,False,2.2999922887773474,1
536,TX000537,AC00125,56.94,2023-12-11 16:52:47,Credit,Charlotte,D000542,69.82.61.135,M043,Online,76,Retired,74,1,7004.63,2024-11-04 08:07:42,16,-28394095.0,0.00812890900999923,True,False,1.6088315899366183,1
2110,TX002111,AC00126,175.05,2023-01-02 17:05:16,Debit,San Francisco,D000299,24.129.74.189,M068,Online,39,Engineer,34,1,1447.35,2024-11-04 08:08:09,17,-58028573.0,0.12094517483024028,True,False,3.159504123181311,1
249,TX000250,AC00126,73.55,2023-01-09 16:09:48,Debit,Atlanta,D000210,196.121.240.10,M086,ATM,51,Engineer,158,1,2812.06,2024-11-04 08:11:21,16,-57427293.0,0.026155202854294703,True,False,2.3923667450183363,1
2302,TX002303,AC00126,106.43,2023-04-17 17:32:12,Credit,Phoenix,D000498,147.114.91.132,M063,ATM,52,Engineer,164,1,9403.12,2024-11-04 08:10:35,17,-48955103.0,0.01131858360701705,True,False,5.486919116981749,0
1636,TX001637,AC00126,125.0,2023-06-05 16:19:55,Credit,Indianapolis,D000617,98.39.212.221,M046,Online,49,Engineer,177,1,3215.76,2024-11-04 08:11:36,16,-44725901.0,0.038871059908478674,True,False,2.2624639480993958,1
1379,TX001380,AC00126,77.53,2023-07-25 18:00:25,Debit,Louisville,D000522,203.245.215.62,M052,Branch,54,Retired,55,1,5158.6,2024-11-04 08:07:12,18,-40399607.0,0.015029271478639026,True,False,2.3273223587636807,1
1188,TX001189,AC00126,643.03,2023-08-01 16:23:37,Credit,Jacksonville,D000384,104.155.121.252,M002,Online,36,Engineer,52,1,2882.16,2024-11-04 08:08:22,16,-39800685.0,0.22310697454996606,True,False,2.6094778046339213,1
760,TX000761,AC00126,319.27,2023-08-07 16:54:58,Debit,San Antonio,D000172,211.97.88.141,M052,ATM,50,Doctor,150,1,10269.78,2024-11-04 08:12:18,16,-39280640.0,0.031088299816463154,True,False,5.207507626871887,0
514,TX000515,AC00127,539.81,2023-02-21 16:14:16,Debit,San Francisco,D000632,51.196.87.214,M064,Online,46,Engineer,177,1,2051.25,2024-11-04 08:09:05,16,-53711689.0,0.26316148561530045,True,False,1.9009328501945784,1
1552,TX001553,AC00127,5.64,2023-03-08 16:57:30,Debit,Boston,D000691,77.208.193.198,M064,Online,59,Doctor,47,1,12703.24,2024-11-04 08:11:10,16,-52413220.0,0.0004439812201895097,True,False,2.58231830257635,1
1865,TX001866,AC00128,505.14,2023-01-03 17:33:54,Debit,Portland,D000431,48.89.167.189,M058,ATM,68,Retired,179,1,2525.47,2024-11-04 08:11:16,17,-57940642.0,0.20001821363936925,True,False,1.9519923349984516,1
487,TX000488,AC00128,710.14,2023-03-08 16:20:43,Debit,El Paso,D000667,83.207.115.164,M059,ATM,26,Student,227,1,465.63,2024-11-04 08:12:20,16,-52415497.0,1.5251164760621851,True,False,3.105675231958852,1
2470,TX002471,AC00128,425.91,2023-03-24 16:34:27,Debit,Jacksonville,D000412,177.116.108.246,M038,ATM,23,Student,47,1,383.58,2024-11-04 08:07:14,16,-51031967.0,1.1103550469170698,True,False,2.3493859886191855,1
401,TX000402,AC00128,137.35,2023-03-29 18:12:17,Credit,Sacramento,D000051,37.213.85.222,M028,Online,40,Doctor,220,1,12662.66,2024-11-04 08:10:23,18,-50594286.0,0.01084685207464557,True,False,2.5438699686567463,0
0,TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,16,-49477134.0,0.002756146553533312,True,False,2.1915403678253975,1
1756,TX001757,AC00128,34.67,2023-04-25 16:34:55,Debit,Chicago,D000321,78.100.105.143,M077,Online,19,Student,71,1,888.6,2024-11-04 08:11:38,16,-48267403.0,0.03901642990078292,True,False,1.8555596686770963,1
1281,TX001282,AC00128,1397.59,2023-11-13 17:28:12,Credit,Austin,D000117,4.134.78.167,M020,ATM,26,Student,144,1,1134.79,2024-11-04 08:06:38,17,-30811106.0,1.2315846876374952,True,False,2.586277151710179,1
923,TX000924,AC00129,218.37,2023-06-05 16:27:31,Debit,Houston,D000651,147.119.62.178,M075,ATM,62,Doctor,105,1,9942.24,2024-11-04 08:10:54,16,-44725403.0,0.021963863252180735,True,False,2.832790747822049,1
1654,TX001655,AC00129,83.95,2023-06-14 16:16:25,Debit,New York,D000288,60.89.202.192,M015,Online,75,Retired,170,1,7413.18,2024-11-04 08:06:37,16,-43948212.0,0.011324424860418302,True,False,2.9800880065629265,1
817,TX000818,AC00129,586.85,2023-08-15 16:57:27,Debit,Mesa,D000515,187.199.178.27,M014,ATM,36,Doctor,86,1,6655.15,2024-11-04 08:12:18,16,-38589291.0,0.08817983052496214,True,False,3.1079636951195218,1
2410,TX002411,AC00129,206.25,2023-10-03 16:22:49,Debit,Baltimore,D000045,157.47.114.20,M074,ATM,74,Retired,56,1,3651.07,2024-11-04 08:07:59,16,-34357510.0,0.05649028899339018,True,False,2.3508651837583336,1
2356,TX002357,AC00130,423.96,2023-01-30 18:50:14,Debit,San Diego,D000042,138.181.222.38,M086,ATM,43,Doctor,75,1,8374.38,2024-11-04 08:08:41,18,-55603107.0,0.05062583731497038,True,False,3.0745530781511836,1
619,TX000620,AC00130,168.54,2023-02-02 16:13:13,Debit,Oklahoma City,D000467,119.105.89.125,M064,ATM,70,Doctor,142,2,13406.0,2024-11-04 08:08:14,16,-55353301.0,0.0125719826849381,True,True,2.2954168865283453,1
1857,TX001858,AC00130,720.13,2023-02-14 17:58:31,Credit,Omaha,D000228,155.140.33.42,M024,ATM,22,Student,96,1,387.02,2024-11-04 08:07:31,17,-54310140.0,1.8607048250554281,True,False,2.242123640952455,1
214,TX000215,AC00130,386.81,2023-03-03 18:02:52,Credit,Detroit,D000248,34.169.232.37,M039,Online,57,Doctor,149,1,7175.29,2024-11-04 08:10:50,18,-52841278.0,0.05390862243350635,True,False,3.5517603653573726,1
1623,TX001624,AC00130,199.37,2023-06-29 17:39:21,Debit,Chicago,D000413,198.24.183.157,M083,Online,24,Student,79,1,1331.3,2024-11-04 08:08:44,17,-42647363.0,0.1497558765886286,True,False,1.916152710083949,1
673,TX000674,AC00130,197.49,2023-07-03 16:36:45,Credit,Fresno,D000649,167.67.137.223,M007,Online,53,Retired,30,1,5005.33,2024-11-04 08:06:40,16,-42305395.0,0.03945593988916627,True,False,2.8707640868329656,1
948,TX000949,AC00130,273.92,2023-07-04 17:50:02,Debit,Portland,D000646,116.43.88.219,M053,Branch,79,Retired,109,1,4543.56,2024-11-04 08:11:48,17,-42214906.0,0.060287527708916516,True,False,2.2702351245373045,1
2373,TX002374,AC00130,344.87,2023-08-28 17:59:32,Debit,Houston,D000608,124.6.134.78,M090,Branch,58,Retired,25,1,7447.44,2024-11-04 08:11:21,17,-37462309.0,0.046307187374041034,True,False,2.9604006472685156,1
1496,TX001497,AC00130,147.74,2023-09-05 16:52:06,Debit,Raleigh,D000064,12.246.170.239,M034,Branch,23,Student,15,1,1711.78,2024-11-04 08:12:18,16,-36775212.0,0.08630781942593196,True,False,2.2588272761761803,1
663,TX000664,AC00131,288.28,2023-01-17 17:11:24,Debit,Portland,D000127,191.25.177.160,M087,Online,27,Student,36,1,160.83,2024-11-04 08:06:33,17,-56732109.0,1.7924515455790866,True,False,3.113839455507653,1
1861,TX001862,AC00131,88.29,2023-01-20 16:46:06,Credit,Houston,D000101,194.29.57.163,M039,Online,50,Engineer,287,1,5245.93,2024-11-04 08:09:17,16,-56474591.0,0.01683019022970152,True,False,2.316483852112748,1
826,TX000827,AC00131,524.6,2023-04-07 17:37:34,Debit,El Paso,D000593,44.73.3.217,M002,Branch,58,Doctor,76,1,13017.7,2024-11-04 08:09:46,17,-49818732.0,0.0402989775149996,True,False,1.5933981876434415,1
